id,name,discount_amount,issue_start_time,issue_end_time,max_quantity,issued_quantity,expiry_days,created_at,updated_at
1,Coupon00001,4115,2025-01-01 00:00:00,2025-12-31 23:59:59,9999,4224,50,2025-06-06 01:20:06,2025-06-06 01:20:06
2,Coupon00002,4621,2025-01-01 00:00:00,2025-12-31 23:59:59,9124,2990,80,2025-06-06 01:20:06,2025-06-06 01:20:06
3,Coupon00003,4124,2025-01-01 00:00:00,2025-12-31 23:59:59,6148,4565,84,2025-06-06 01:20:06,2025-06-06 01:20:06
4,Coupon00004,1571,2025-01-01 00:00:00,2025-12-31 23:59:59,7197,6700,11,2025-06-06 01:20:06,2025-06-06 01:20:06
5,Coupon00005,9129,2025-01-01 00:00:00,2025-12-31 23:59:59,5196,794,9,2025-06-06 01:20:06,2025-06-06 01:20:06
6,Coupon00006,3042,2025-01-01 00:00:00,2025-12-31 23:59:59,8166,6909,28,2025-06-06 01:20:06,2025-06-06 01:20:06
7,Coupon00007,4921,2025-01-01 00:00:00,2025-12-31 23:59:59,1200,568,59,2025-06-06 01:20:06,2025-06-06 01:20:06
8,Coupon00008,5335,2025-01-01 00:00:00,2025-12-31 23:59:59,4333,49,66,2025-06-06 01:20:06,2025-06-06 01:20:06
9,Coupon00009,1377,2025-01-01 00:00:00,2025-12-31 23:59:59,1951,1607,33,2025-06-06 01:20:06,2025-06-06 01:20:06
10,Coupon00010,3934,2025-01-01 00:00:00,2025-12-31 23:59:59,9276,8992,35,2025-06-06 01:20:06,2025-06-06 01:20:06
11,Coupon00011,2652,2025-01-01 00:00:00,2025-12-31 23:59:59,5148,5035,76,2025-06-06 01:20:06,2025-06-06 01:20:06
12,Coupon00012,2184,2025-01-01 00:00:00,2025-12-31 23:59:59,8887,8056,56,2025-06-06 01:20:06,2025-06-06 01:20:06
13,Coupon00013,5207,2025-01-01 00:00:00,2025-12-31 23:59:59,3572,158,82,2025-06-06 01:20:06,2025-06-06 01:20:06
14,Coupon00014,5224,2025-01-01 00:00:00,2025-12-31 23:59:59,8874,1870,29,2025-06-06 01:20:06,2025-06-06 01:20:06
15,Coupon00015,9187,2025-01-01 00:00:00,2025-12-31 23:59:59,6501,27,75,2025-06-06 01:20:06,2025-06-06 01:20:06
16,Coupon00016,9571,2025-01-01 00:00:00,2025-12-31 23:59:59,8379,2335,69,2025-06-06 01:20:06,2025-06-06 01:20:06
17,Coupon00017,1738,2025-01-01 00:00:00,2025-12-31 23:59:59,7997,6471,62,2025-06-06 01:20:06,2025-06-06 01:20:06
18,Coupon00018,3841,2025-01-01 00:00:00,2025-12-31 23:59:59,3207,68,16,2025-06-06 01:20:06,2025-06-06 01:20:06
19,Coupon00019,6842,2025-01-01 00:00:00,2025-12-31 23:59:59,3391,3032,74,2025-06-06 01:20:06,2025-06-06 01:20:06
20,Coupon00020,4635,2025-01-01 00:00:00,2025-12-31 23:59:59,5588,4469,60,2025-06-06 01:20:06,2025-06-06 01:20:06
21,Coupon00021,5019,2025-01-01 00:00:00,2025-12-31 23:59:59,6098,4423,11,2025-06-06 01:20:06,2025-06-06 01:20:06
22,Coupon00022,1743,2025-01-01 00:00:00,2025-12-31 23:59:59,8294,3488,30,2025-06-06 01:20:06,2025-06-06 01:20:06
23,Coupon00023,3242,2025-01-01 00:00:00,2025-12-31 23:59:59,4378,3717,74,2025-06-06 01:20:06,2025-06-06 01:20:06
24,Coupon00024,6721,2025-01-01 00:00:00,2025-12-31 23:59:59,1019,87,48,2025-06-06 01:20:06,2025-06-06 01:20:06
25,Coupon00025,5888,2025-01-01 00:00:00,2025-12-31 23:59:59,1906,1372,47,2025-06-06 01:20:06,2025-06-06 01:20:06
26,Coupon00026,1475,2025-01-01 00:00:00,2025-12-31 23:59:59,3332,1823,21,2025-06-06 01:20:06,2025-06-06 01:20:06
27,Coupon00027,1123,2025-01-01 00:00:00,2025-12-31 23:59:59,5823,3172,87,2025-06-06 01:20:06,2025-06-06 01:20:06
28,Coupon00028,1514,2025-01-01 00:00:00,2025-12-31 23:59:59,9164,6154,78,2025-06-06 01:20:06,2025-06-06 01:20:06
29,Coupon00029,4097,2025-01-01 00:00:00,2025-12-31 23:59:59,7397,3161,9,2025-06-06 01:20:06,2025-06-06 01:20:06
30,Coupon00030,5853,2025-01-01 00:00:00,2025-12-31 23:59:59,5015,2556,63,2025-06-06 01:20:06,2025-06-06 01:20:06
31,Coupon00031,5326,2025-01-01 00:00:00,2025-12-31 23:59:59,9910,8870,27,2025-06-06 01:20:06,2025-06-06 01:20:06
32,Coupon00032,3027,2025-01-01 00:00:00,2025-12-31 23:59:59,9325,3550,14,2025-06-06 01:20:06,2025-06-06 01:20:06
33,Coupon00033,7067,2025-01-01 00:00:00,2025-12-31 23:59:59,4769,3049,19,2025-06-06 01:20:06,2025-06-06 01:20:06
34,Coupon00034,3908,2025-01-01 00:00:00,2025-12-31 23:59:59,3052,2889,86,2025-06-06 01:20:06,2025-06-06 01:20:06
35,Coupon00035,9493,2025-01-01 00:00:00,2025-12-31 23:59:59,4210,1934,8,2025-06-06 01:20:06,2025-06-06 01:20:06
36,Coupon00036,4957,2025-01-01 00:00:00,2025-12-31 23:59:59,1068,822,29,2025-06-06 01:20:06,2025-06-06 01:20:06
37,Coupon00037,6291,2025-01-01 00:00:00,2025-12-31 23:59:59,7830,4699,36,2025-06-06 01:20:06,2025-06-06 01:20:06
38,Coupon00038,3053,2025-01-01 00:00:00,2025-12-31 23:59:59,6605,1553,66,2025-06-06 01:20:06,2025-06-06 01:20:06
39,Coupon00039,2512,2025-01-01 00:00:00,2025-12-31 23:59:59,9895,8335,49,2025-06-06 01:20:06,2025-06-06 01:20:06
40,Coupon00040,8617,2025-01-01 00:00:00,2025-12-31 23:59:59,5986,4639,29,2025-06-06 01:20:06,2025-06-06 01:20:06
41,Coupon00041,9978,2025-01-01 00:00:00,2025-12-31 23:59:59,9154,3439,9,2025-06-06 01:20:06,2025-06-06 01:20:06
42,Coupon00042,5451,2025-01-01 00:00:00,2025-12-31 23:59:59,8405,158,64,2025-06-06 01:20:06,2025-06-06 01:20:06
43,Coupon00043,8299,2025-01-01 00:00:00,2025-12-31 23:59:59,4666,466,86,2025-06-06 01:20:06,2025-06-06 01:20:06
44,Coupon00044,8265,2025-01-01 00:00:00,2025-12-31 23:59:59,9490,2116,89,2025-06-06 01:20:06,2025-06-06 01:20:06
45,Coupon00045,1224,2025-01-01 00:00:00,2025-12-31 23:59:59,3919,1654,77,2025-06-06 01:20:06,2025-06-06 01:20:06
46,Coupon00046,3326,2025-01-01 00:00:00,2025-12-31 23:59:59,3526,1970,17,2025-06-06 01:20:06,2025-06-06 01:20:06
47,Coupon00047,2000,2025-01-01 00:00:00,2025-12-31 23:59:59,5428,3090,65,2025-06-06 01:20:06,2025-06-06 01:20:06
48,Coupon00048,3276,2025-01-01 00:00:00,2025-12-31 23:59:59,9374,5750,64,2025-06-06 01:20:06,2025-06-06 01:20:06
49,Coupon00049,4862,2025-01-01 00:00:00,2025-12-31 23:59:59,9966,2440,23,2025-06-06 01:20:06,2025-06-06 01:20:06
50,Coupon00050,9560,2025-01-01 00:00:00,2025-12-31 23:59:59,6313,4789,88,2025-06-06 01:20:06,2025-06-06 01:20:06
51,Coupon00051,4129,2025-01-01 00:00:00,2025-12-31 23:59:59,9364,625,13,2025-06-06 01:20:06,2025-06-06 01:20:06
52,Coupon00052,5274,2025-01-01 00:00:00,2025-12-31 23:59:59,7741,2020,53,2025-06-06 01:20:06,2025-06-06 01:20:06
53,Coupon00053,6929,2025-01-01 00:00:00,2025-12-31 23:59:59,9318,740,10,2025-06-06 01:20:06,2025-06-06 01:20:06
54,Coupon00054,6077,2025-01-01 00:00:00,2025-12-31 23:59:59,1992,623,52,2025-06-06 01:20:06,2025-06-06 01:20:06
55,Coupon00055,1082,2025-01-01 00:00:00,2025-12-31 23:59:59,8656,5314,13,2025-06-06 01:20:06,2025-06-06 01:20:06
56,Coupon00056,5275,2025-01-01 00:00:00,2025-12-31 23:59:59,9944,4680,46,2025-06-06 01:20:06,2025-06-06 01:20:06
57,Coupon00057,5982,2025-01-01 00:00:00,2025-12-31 23:59:59,2510,2359,12,2025-06-06 01:20:06,2025-06-06 01:20:06
